,specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment 
30,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1037.6167,0.37056,14.647,0.0,73.121,0.0,7.268,0.0,4,4,4,-89.9917,89.9917,1421.8071288698927,1422.4300724316113,1058,1075,0.3706,O VI,b,-- 
31,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1031.9261,0.3711,14.094,0.339,83.0,47.617,25.35,53.969,5,5,5,-25.3498,25.3498,1414.788042335245,1414.9625572007908,866,871,0.37122,O VI,b,-- 
32,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1037.6167,0.3711,14.094,0.0,83.0,0.0,25.35,0.0,5,5,5,-25.3498,25.3498,1422.58995066348,1422.7654278986122,1079,1084,0.37122,O VI,b,-- 
33,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1031.9261,0.37148,13.435,0.568,30.3,23.711,20.035,11.122,6,6,6,-46.8971,46.8971,1415.102496989912,1415.4253492846435,875,884,0.37157,O VI,c,-- 
34,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1037.6167,0.37148,13.435,0.0,30.3,0.0,20.035,0.0,6,6,6,-46.8971,46.8971,1422.9061393916022,1423.2307720689296,1088,1097,0.37157,O VI,c,-- 
35,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1393.7602,-0.00014,13.585,0.024,43.3,3.184,7.524,2.192,2,2,2,-63.3744,63.3744,1393.2698134961872,1393.8590792636328,280,296,-0.00012,SiIV,b,-- 
36,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1402.7729,-0.00014,13.585,0.0,43.3,0.0,7.524,0.0,2,2,2,-63.3744,63.3744,1402.27934242957,1402.87241866282,525,542,-0.00012,SiIV,b,-- 
37,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1393.7602,0.00021,13.372,0.03,29.9,2.966,24.289,1.988,3,3,3,-40.5596,40.5596,1393.8708753437425,1394.248005286137,296,307,0.0003,SiIV,c,-- 
38,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1402.7729,0.00021,13.372,0.0,29.9,0.0,24.289,0.0,3,3,3,-40.5596,40.5596,1402.884291021856,1403.2638596614036,542,552,0.0003,SiIV,c,-- 
39,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.36219,14.896,0.029,33.755,0.912,6.611,0.877,2,2,2,-59.572,59.572,1397.023419383447,1397.4310635470529,382,393,0.36222,H I,b,-- 
40,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.36219,14.896,0.0,33.755,0.0,6.611,0.0,2,2,2,-59.572,59.572,1655.7304309508706,1656.2135644741295,7433,7447,0.36222,H I,b,-- 
41,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.36283,14.918,0.017,42.838,0.986,12.206,0.922,3,3,3,-69.7119,69.7119,1397.6507069075335,1398.1277372098382,399,412,0.36289,H I,c,-- 
42,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.36283,14.918,0.0,42.838,0.0,12.206,0.0,3,3,3,-69.7119,69.7119,1656.4738823692044,1657.0392512649958,7454,7469,0.36289,H I,c,-- 
43,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.36348,14.083,0.022,69.4,5.385,19.525,2.483,4,4,4,-67.1769,67.1769,1398.3213608538429,1398.7810444504007,418,430,0.36357,H I,c,-- 
44,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.36348,14.083,0.0,69.4,0.0,19.525,0.0,4,4,4,-67.1769,67.1769,1657.2687309967469,1657.813540846653,7475,7490,0.36357,H I,c,-- 
45,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1025.7222,0.36421,14.925,0.026,29.6,0.722,-4.219,0.716,5,5,5,-73.5143,73.5143,1399.0503115769857,1399.553361253622,437,451,0.36419,H I,b,-- 
46,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1215.67,0.36421,14.925,0.0,29.6,0.0,-4.219,0.0,5,5,5,-73.5143,73.5143,1658.1326720575944,1658.7288787112057,7499,7515,0.36419,H I,b,-- 
47,/Users/samgarza/Dropbox/COS-HolesHSTdata/J1249+4122/J1249+4122_nbin3_method1_jwnorm.fits,1526.707,-0.00015,14.958,0.177,30.019,3.625,10.568,1.366,2,2,2,-68.4444,68.4444,1526.1311170455044,1526.8282296098955,3901,3920,-0.00011,SiII,a,-- 
