#  ID   M200  MStar   lg_SSFR   MBH   fgas Kappa j  
 2287 11.787  9.876  -10.307  6.452  0.267 0.377 0
  165 12.810 10.860  -12.194  7.809  0.602 0.440 0
 2388 11.728 10.162  -10.357  6.584  0.225 0.568 0
  827 12.332 10.775  -13.000  7.707  0.046 0.426 0
 1163 12.107 10.403  -9.983  7.170  0.312 0.526 0
 2136 11.786 10.136  -10.217  6.903  0.186 0.402 0
 3830 11.533  9.819  -10.459  6.407  0.048 0.189 0
 1760 11.888 10.058  -9.934  6.326  0.175 0.451 0
 2710 11.674  9.892  -10.428  6.671  0.096 0.287 0
 2421 11.732  9.941  -10.504  6.516  0.234 0.225 0
 5236 11.348  9.536  -10.092  5.767  0.078 0.574 0
 2944 11.605  9.852  -10.277  6.063  0.109 0.403 0
 2494 11.698  9.609  -9.944  5.763  0.281 0.323 0
 1885 11.879 10.097  -10.463  7.155  0.120 0.246 0
 1764 11.896 10.210  -10.147  6.382  0.274 0.536 0
 2086 11.616  9.523  -10.017  6.110  0.254 0.335 0
 1968 11.864 10.123  -10.841  5.802  0.208 0.544 0
 2830 11.581  9.667  -10.542  6.287  0.209 0.184 0
 1244 12.041 10.409  -10.395  7.434  0.157 0.311 0
 3634 11.489  9.643  -10.198  5.839  0.152 0.206 0
 1544 11.892 10.308  -10.518  7.285  0.189 0.407 0
 1890 11.862 10.110  -10.330  6.542  0.268 0.593 0
 4466 11.451  9.695  -10.521  6.025  0.036 0.382 0
 5164 11.338  9.531  -10.230  5.515  0.135 0.154 0
 2248 11.839 10.287  -10.539  6.532  0.043 0.457 0
 1465 11.875  9.908  -9.924  6.545  0.283 0.244 0
 3084 11.596  9.713  -10.111  6.216  0.256 0.279 0
 1716 11.606  9.654  -9.800  5.948  0.324 0.500 0
 1120 12.013  9.975  -9.531  6.130  0.301 0.376 0
  737 12.320 10.628  -12.475  8.120  0.141 0.186 0
  250 12.771 10.866  -13.000  8.293  0.247 0.139 0
 3293 11.527  9.604  -9.939  6.103  0.253 0.365 0
 3417 11.523  9.618  -10.044  6.008  0.170 0.313 0
 3102 11.619  9.542  -9.798  6.102  0.307 0.401 0
 4946 11.280  9.823  -10.421  5.954  0.059 0.422 0
 1015 12.074 10.501  -10.474  7.265  0.311 0.535 0
 3071 11.539  9.621  -9.709  5.590  0.189 0.396 0
 5389 11.317  9.503  -10.165  5.526  0.159 0.444 0
 3754 11.517  9.548  -10.954  6.155  0.074 0.185 0
 3615 11.571  9.130  -9.814  6.101  0.190 0.237 0
 4403 11.429  9.657  -10.795  5.731  0.050 0.362 0
 2112 11.680  9.999  -9.978  6.151  0.322 0.641 0
 2504 11.658 10.080  -10.016  6.219  0.234 0.421 0
 1323 12.049 10.022  -10.362  6.810  0.235 0.314 0
  447 12.543 10.497  -10.928  8.018  0.180 0.170 0
 3213 11.575  9.120  -9.843  5.873  0.236 0.254 0
  195 12.995 11.042  -13.000  8.357  0.484 0.275 0
 1381 11.998 10.291  -10.978  7.361  0.205 0.298 0
 2753 11.700 10.046  -10.379  6.274  0.071 0.404 0
 1306 11.975 10.433  -10.461  7.029  0.446 0.532 0
    5 14.293 11.304  -11.169  9.144  0.885 0.203 0
 1608 11.908 10.222  -9.872  6.505  0.281 0.635 0
 6373 11.262  9.653  -10.672  5.584  0.133 0.295 0
  757 12.313 10.567  -12.098  7.751  0.218 0.128 0
 1838 11.775 10.099  -10.303  6.723  0.197 0.215 0
   94 13.226 11.047  -10.873  8.519  0.667 0.179 0
 2185 11.685 10.160  -10.194  6.039  0.180 0.614 0
 1025 12.154 10.448  -9.886  6.487  0.358 0.730 0
  230 12.887 10.758  -10.507  8.113  0.422 0.241 0
 1074 12.038  9.939  -10.531  7.039  0.185 0.266 0
 3693 11.488  9.685  -9.851  5.808  0.319 0.686 0
  874 12.272 10.760  -13.000  7.707  0.071 0.347 0
